ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	B101	B102	B103	B104	B105	B106	B107	B108	B109	B110	B111	B112	B113	B114	B115	B116	B117	B118	B119	B120	B121	B122	B123	B124	B125	B126	B127	B128	B129	B130	B131	B132	B133	B134	B135	B136	B137	B138	B139	B140	B141	B142	B143	B144	B145	B146	B147	B148	B149	B150	B151	B152	B153	B154	B155	B156	B157	B158	B159	B160	B161	B162	B163	B164	B165	B166	B167	B168	B169	B170	B171	B172	B173	B174	B175	B176	B177	B178	B179	B180	B181	B182	B183	B184	B185	B186	B187	B188	B189	B190	B191	B192	B193	B194	B195	B196	B197	B198	B199	B200	B201	B202	B203	B204	B205	B206	B207	B208	B209	B210	B211	B212	B213	B214	B215	B216	B217	B218	B219	B220	B221	B222	B223	B224	B225	B226	B227	B228	B229	B230	B231	B232	B233	B234	B235	B236	B237	B238	B239	B240	B241	B242	B243	B244	B245	B246	B247	B248	B249	B250	B251	B252	B253	B254	B255	B256	B257	B258	B259	B260	B261	B262	B263	B264	B265	B266	B267	B268	B269	B270	B271	B272	B273	B274	B275	B276	B277	B278	B279	B280	B281	B282	B283	B284	B285	B286	B287	B288	B289	B290	B291	B292	B293	B294	B295	B296	B297	B298	B299	B300	B301	B302	B303	B304	B305	B306	B307	B308	B309	B310	B311	B312	B313	B314	B315	B316	B317	B318	B319	B320	B321	B322	B323	B324	B325	B326	B327	B328	B329	B330	B331	B332	B333	B334	B335	B336	B337	B338	B339	B340	binSize
0610010K14Rik-NM_145758	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0.412	0	0.206	1.442	1.442	0	0	2.266	5.562	0.618	1.236	1.236	0.618	0.618	0.412	0	0	0	0	0	0	0	0	0	1.03	0.618	0.824	0.206	0	0.412	0.412	0.206	0.412	1.442	0.206	0.206	0.206	1.03	0.618	0.206	0.206	0.206	1.648	3.09	0.824	0.824	0	1.259	2.243	0	1.648	0	0.618	1.442	0.824	1.236	0	0	0	0	0	0.206	0.412	0	0	0	0.412	0.206	0.412	2.291	6.49	6.875	5.559	1.968	2.155	2.472	0.618	0.618	0.412	0	0	0.412	0	0	0.206	0	0	0.412	0.206	0	0	0	0	0.412	0	0.412	0.206	0.206	0.206	0	0	0.206	0	0	0	0	0	0	0	0	0.206	0	0	0.206	0	0.412	0	0.618	0	0	0	0.206	0	0	0	0	0	0.206	0.206	0	0.206	0.206	0	0.173	0.239	0	0.206	0	0	0	0	0	0.618	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0.206	0	0	0	0	0.206	0.206	0	0	0	0	0	0	0	0.206	0	0	0.206	0	0.206	0	0	0	0.206	0	0.412	0.206	0.618	0.412	0	0.206	0.412	0	0	0.412	0	0	0.349	0.269	0.206	0	0	0.097	0.109	0	0.412	0	0	0.206	0.206	0	0	0	0	0.206	0.141	0.065	0.206	0	0.206	0	0.412	0.412	0.206	0	0	0.369	0.455	0.597	0.845	0	0	0.206	0.206	0	0.574	0.25	0.206	0.824	0	0	0	0.206	0.046	0.366	0	0.412	1.442	0	1.442	1.648	1.442	2.678	0.618	0.824	0.206	0	0.412	0.206	0	0.206	0.824	0.618	0.824	0.412	0.618	0.206	0.206	0.824	0.206	0.206	0	0.206	1.854	0.824	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412	0	0	0.412	0.206	1.442	0.824	0.206	0	0	0	0	0	0	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,13.555:200,50:80
0610043K17Rik-NR_040640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.09	84.462	0.206	3.09	1.854	0.412	0.412	3.376	8.203	21.999	13.39	2.06	4.738	1.236	0.618	0.412	0.412	0	0.206	0.206	0.206	0.206	0.618	0.412	0.618	0	0.618	0	0.824	0	0.412	0	0	0	0.412	1.236	0.206	0	0	0.824	0.412	0.824	0.206	0.206	0.206	0.206	0.206	0	0	0.412	0	0.412	0.618	0.618	0	0.206	0	0.412	0	0.206	0	0.206	0	0	0	0.206	0.206	0.206	0.206	0	0.618	0.206	0.206	0	0	0	0	0	0.412	0.206	0.412	0	0	0	0	0	0.206	0.618	0	0.206	0.412	0.206	0	0	0	0	0	0	0	0.206	0.206	0	0.412	0.206	0.206	0.412	0	0	0	0.206	0.412	0.412	0	0	0	0	0.412	0	0	0.206	0.206	0	0	0.206	0.412	0.412	0.412	0.206	0	0.206	0	0	0.206	0	0	0.206	0	0.412	1.442	0	0	0	0	0.206	0	0.412	0	0.618	0	0	0	0	0	0	0	0.206	0.206	0.824	0.618	0	0	0.206	0	0	0.206	0.206	0	0	0.206	1.03	0.206	0.206	0.206	0.206	0	0	0	0	0	0	0.206	0	0.206	0	0	0	0.206	0	0.206	0.206	0.618	0	0.206	0	0.206	0	0	0	0	0	0	0	0.412	0	0.206	0	0	0	0	0	0	0	0	0.206	0	0.206	0.618	0	0	0	0.618	0.206	0.412	0.206	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0.412	0	0	0	50:60,227.015:200,50:80
1600012H06Rik-NM_001083881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115	2.563	2.06	0.412	0.824	1.537	11.738	14.964	4.104	2.332	0.758	0.206	0.206	0.618	0.412	0	0.206	0	0	0	0	0	0.412	0	0	0	0	0.206	0	0	0.206	0	0	0.474	0.144	0	0	0	0	0.206	0.206	0	0.206	0.206	0.412	0	0.206	0.206	0.206	0.206	0	0.412	0.206	0.206	0.412	0.206	0.412	0.412	0.206	0	0.206	0	0	0	0.206	0.206	0.214	0.404	0	0.206	0	0	0	0.103	0.309	0	0	0	0	0	0	0	0	0	0	0.206	0	0.206	0	0	0.206	0.206	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0.206	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0.206	0	0.206	0.206	0	0	0.206	0.548	0.688	0.618	0	0	0.206	0	0	0	0	0	0	0	0	0.824	0	0.235	0.589	0	0	0	0.42	0.198	0	0	0	0	0	0	0.206	0.206	0	0	0.206	0	0.206	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0.206	0	0	0.206	0	0	0	0	0	0	0	0	0.412	0.412	0.412	0	1.236	0.206	0.206	0	0.618	0	0	0	0	0.412	0.206	0	0.412	0.206	0	0	0.412	0.206	0	0	0	0	0	0	0	0	0	0	0	0.206	0.206	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0.206	0	0	50:60,13.78:200,50:80
1600023N17Rik-NR_073433	0	0	0	0	0	0	0	0	0	0	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0.206	0	0	0	0	0	0	0.206	0	0.206	0	0	0.412	1.03	0.618	0.206	0	0.824	0	0	0	0.206	0	0.412	0.412	0	0.412	0	0	2.884	9.905	1.632	0.412	0.206	1.483	4.746	2.423	14.206	4.219	6.048	24.251	8.372	10.102	14.684	15.928	40.418	33.777	26.294	9.32	8.52	19.158	11.775	4.664	12.039	5.471	1.45	0.404	1.154	3.378	0.906	5.941	1.599	2.678	0	0.906	0.923	0.33	0.725	0	0.206	0	0.206	0	0	0	0	0	0	0	0	0.206	0.206	0	0	0	0	0.206	0	0	0.206	0.206	0	0	0	0	0	0	0.206	0	0	0	0.206	0	0	0	0	0	0.412	0	0.453	0.165	0	0	0	0.165	0.247	0	0.107	0.099	0	0	0	0	0	0	0	0.206	0	0	0	0.206	0	0	0	0	0	0	0	0	0.082	0.124	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0.206	0	0	1.03	0.412	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0.206	0	0	0	0.412	0	0	0	0	50:60,5.04:200,50:80
1700008K24Rik-NR_038144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,6.35:200,50:80
1700010I02Rik-NR_040587	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,147.925:200,50:80
1700022I11Rik-NM_026088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0.206	50:60,21.9:200,50:80
1700067P10Rik-NR_160405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,6.395:200,50:80
1810019D21Rik-NR_040346	2.678	2.678	0.412	1.854	0.206	1.442	2.472	0.824	1.236	6.386	2.472	1.236	2.06	0.206	1.236	1.854	2.266	2.06	4.944	2.884	2.678	1.03	0.618	6.798	2.06	1.03	0.412	1.648	0.618	0.412	3.09	3.914	0.618	2.06	3.914	1.442	0.824	0.206	1.03	0.618	0.618	0	0	0.824	7.828	3.09	1.236	0	0.206	0.412	0	0.206	0.206	0.206	0	0.412	0	0	0.206	0.618	2.393	3.169	3.914	3.502	4.136	2.251	1.711	0.539	0.428	0.206	0	0	0	0.618	0.618	0	0.206	0	0	0	0	0.206	0	0.206	0.206	0.824	0.618	0.412	0	0	0	0	0.206	0	0.206	0	0.412	0	0	0	0	0.412	0	0.618	1.03	1.03	0.186	0.02	0.412	0	0	0	0	0.206	0	0	0	0	0.206	0	0.206	0.206	0	0	0	0	0	0	0.296	0.116	0	0	0	0.206	0	0	0	0.206	0	0.206	0	0	0	0	0	0	0.206	0.206	0.206	0.206	0	0.206	0	0	0	0	0.206	0.206	0	1.03	3.708	3.502	12.098	20.451	2.091	0.999	0.206	0.206	0.206	0.618	0.412	0.593	1.467	0.412	0.412	0	0.206	0.824	0.206	0.412	1.236	0.618	0	1.03	1.854	1.85	3.94	0.951	0.814	0.892	0.412	0.037	0.375	0	0.206	0	0	0	0.618	0	0.412	0	0	0.824	0	0	0.618	0.412	0.412	0.206	0	0	0.412	0.206	0	0.206	0	0.206	0	0	0	0	0	0	0	0	0	0	0.206	0	0.206	0	0	0	0.206	0.824	4.944	10.712	3.502	0.824	0.206	1.03	1.648	1.236	1.921	1.455	1.156	1.854	0.618	1.236	0.412	0.206	0.206	0.824	0	0.206	0.206	0	0	0	0.824	1.03	0.618	0.206	0	0.412	1.236	0	0	0	0	0	0.206	0.412	0.412	0	0.206	0.206	0	0	0.206	0	1.03	0	0	0.206	0	0	0	0	0.618	0.618	0.206	0	0	0	0	0	0	0.618	0	0	0	0	0.206	0	0	0	0	0	0.206	0.206	0	0	0	0	0	0.206	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0.206	0.206	0	0	0	0	0	0	50:60,16.615:200,50:80
2310043L19Rik-NR_037994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0.206	0.206	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,7.01:200,50:80
