ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	B101	B102	B103	B104	B105	B106	B107	B108	B109	B110	B111	B112	B113	B114	B115	B116	B117	B118	B119	B120	B121	B122	B123	B124	B125	B126	B127	B128	B129	B130	B131	B132	B133	B134	B135	B136	B137	B138	B139	B140	B141	B142	B143	B144	B145	B146	B147	B148	B149	B150	B151	B152	B153	B154	B155	B156	B157	B158	B159	B160	B161	B162	B163	B164	B165	B166	B167	B168	B169	B170	B171	B172	B173	B174	B175	B176	B177	B178	B179	B180	B181	B182	B183	B184	B185	B186	B187	B188	B189	B190	B191	B192	B193	B194	B195	B196	B197	B198	B199	B200	B201	B202	B203	B204	B205	B206	B207	B208	B209	B210	B211	B212	B213	B214	B215	B216	B217	B218	B219	B220	B221	B222	B223	B224	B225	B226	B227	B228	B229	B230	B231	B232	B233	B234	B235	B236	B237	B238	B239	B240	B241	B242	B243	B244	B245	B246	B247	B248	B249	B250	B251	B252	B253	B254	B255	B256	B257	B258	B259	B260	B261	B262	B263	B264	B265	B266	B267	B268	B269	B270	B271	B272	B273	B274	B275	B276	B277	B278	B279	B280	B281	B282	B283	B284	B285	B286	B287	B288	B289	B290	B291	B292	B293	B294	B295	B296	B297	B298	B299	B300	B301	B302	B303	B304	B305	B306	B307	B308	B309	B310	B311	B312	B313	B314	B315	B316	B317	B318	B319	B320	B321	B322	B323	B324	B325	B326	B327	B328	B329	B330	B331	B332	B333	B334	B335	B336	B337	B338	B339	B340	binSize
0610010K14Rik-NM_145758	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	1.25	2.143	1.607	0	0	7.68	9.287	2.679	1.25	1.429	1.607	0.893	0	0.179	0.179	0	0	0	0	0	0	0	0.357	1.072	1.429	0.357	0	0	0	0	0	0.536	0	0.179	0	0	0.536	0.893	0	0.357	0.893	0.893	0.179	0	0.357	2.004	3.533	0.893	4.644	0.893	1.072	1.865	0.814	0.357	0.357	0	0	0	0	0	0.357	0	0	0.179	0	0.179	0	1.936	3.824	3.527	3.388	1.613	1.786	0.536	0.357	0.357	0	0	0.179	0.536	0.453	0.083	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0.034	0	0	0	0	0	0	0.179	0	0	0	0.179	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.059	0.179	0	0	0.179	0	0	0	0.536	0.536	0.179	0	0	0	0	0.179	0	0	0.179	0.179	0	0	0	0	0	1.25	0	0	0	0.179	0.893	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0.179	0.357	0.357	1.072	0.179	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,13.555:200,50:80
0610043K17Rik-NR_040640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0.714	0	0.179	6.251	102.514	2.322	8.93	4.108	1.429	0.179	4.678	15.08	41.402	21.887	1.79	8.033	0.714	0.536	0.179	0.179	0	0	0	0	0	0.357	0	0	0.179	0	0	0.179	0	0.179	0.179	0.179	0	0	0	0	0	0	0.357	0	0.357	0	0	0	0.179	0.179	0	0	0	0	0.179	1.25	0.357	0.179	0.179	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0.536	0.357	0.179	0	0	0.179	0	0	0.714	0	0.179	0	0.357	0	0.179	0.357	0.357	0.357	0.179	0	0	0	0	0	0	0	0	0	0.536	0.536	0.179	0	0.179	0	0.179	0	0	0.179	0	0	0.179	1.786	0	0	0	0	0.179	0.714	0.357	0	2.322	0	0	0.179	0.357	0	0.536	0	0.179	0	0.536	0.357	0.179	0.536	0.179	0	0	0	0	0	0.179	0	0.536	0.179	0	0	0	0	0	0	0	0.179	0	0.179	0	0.179	0	0	0	0.179	0	0.179	0	0	0	0	0	0.179	0.357	0	0	0	0	0	0	0	0	0.357	0	0	0	0	0	0	0	0	0	0	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0.179	0	0	0	0	0	0.179	0	0	0	50:60,227.015:200,50:80
1600012H06Rik-NM_001083881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.179	0	0	0	0	0	0	0	0	0	0	0	0.179	0.179	3.393	3.929	1.607	2.443	5.319	28.022	35.151	9.041	4.136	1.972	1.072	0.179	0.357	0	0.179	0.714	0	0	0.179	0	0	0.179	0	0	0.179	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0.136	0.043	0.414	0.121	0	0.357	0.536	0	0.179	0.139	0.039	0.179	0.179	0	0.536	0	0.179	0.179	0.536	0.179	0	0	0	0	0.179	0.179	0.357	0	0	0.179	0	0	0	0.179	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.536	0	0	0	0	0	0	0	0	0	0	0	0.357	0	0.536	0	0	0.179	0	0	0	0	0	0	0	0	0.179	0	0	0.357	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0.179	0	0	0	0.536	0	0	0.179	0.179	0.357	0.714	0	0	0	0.179	0	0	0	0	0.179	0	0.179	0.179	0.179	0.536	0	0	0	0	0.357	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0.179	0	0.179	0	0	0	0	0.357	0.179	0.179	0	0	0	0	0.179	0	0.179	0	0.179	0	0	0	0	0.357	0	0	0	0	0	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0.179	0	0	0	0	0.179	0	0	0.179	0	0	0	0	0	0	0	0	0	50:60,13.78:200,50:80
1600023N17Rik-NR_073433	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0.179	0	0	0	0	0	0.179	0	0	0	0.179	0	0	0.357	1.072	1.607	0.536	0.179	2.143	1.607	0	0	0	0	0.179	0.179	0	0.179	0.179	0	8.751	29.661	3.765	1.579	0.743	3.15	15.252	2.743	18.102	3.843	5.244	31.719	9.88	8.387	16.995	16.745	36.619	31.311	23.26	6.808	8.908	15.238	9.366	8.344	11.223	9.194	1.807	0.707	1.164	5.251	1.143	5.729	1.493	2.229	1.079	1.329	3.286	1.393	0	0.357	0.286	0.25	0.179	0	0	0	0.179	0	0	0	0.179	0.179	0	0.179	0	0.036	0.407	0.5	0.307	1.136	0.829	0.536	0	0	0	0.179	0.357	0	0.893	0.179	0	0	0	0.179	0.179	0	0	0	0	0	0	0	0.179	0	0.064	0.293	0	0	0.357	0.479	0.236	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.043	0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0.357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	50:60,5.04:200,50:80
1700008K24Rik-NR_038144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,6.35:200,50:80
1700010I02Rik-NR_040587	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,147.925:200,50:80
1700022I11Rik-NM_026088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,21.9:200,50:80
1700067P10Rik-NR_160405	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,6.395:200,50:80
1810019D21Rik-NR_040346	1.786	2.322	1.25	0.893	0.179	1.25	3.215	1.786	2.143	8.573	7.322	1.072	4.286	0.357	1.25	2.858	3.215	2.679	4.822	5.536	6.072	1.072	1.072	4.465	2.322	0.536	1.072	1.25	0.714	1.25	1.429	3.036	2.679	3.215	0.893	1.429	0.893	0	1.429	0.893	0	0.357	0.536	1.072	5.715	2.5	0.893	0.179	0.179	0	0.714	0.357	0.179	0.179	0.357	0	0.357	0.179	0.357	0.179	0.536	1.607	2.322	2.322	2.5	0.714	1.056	1.623	0.179	0.179	0	0	0.357	0.893	0.179	0.179	0.536	0.893	0	0	0	0.179	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0.357	0.179	0	0	0.179	0	0	0	0.179	1.786	0.179	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0.357	0	0	0	0.536	0	0.357	0	0	0	0	0	0	0.179	0	0.104	0.074	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.179	0	0	0.179	0	0.179	1.786	1.965	3.572	10.131	21.652	2.253	2.576	0.179	0.179	0.536	0.295	0.598	0.714	3.392	2.324	0.179	0	0.179	0	0.179	0	0.893	0.714	0	1.25	2.679	2.311	3.46	1.63	0.993	0.179	0.893	0.357	0.179	0	0	0	0.179	0.179	0.357	0.179	0.179	0	0.179	0.179	0	0.536	0.357	1.072	0.179	0.179	0.154	0.024	0	0	0	0	0	0.357	0.357	0	0	0	0	0	0	0	0	0	0	0	0.357	0	0	0	0.536	0.714	5.689	10.742	5.715	0.714	1.072	1.047	0.918	0.536	1.527	1.936	1.716	3.504	0.425	0.536	0	0	0	0.179	0	0.179	0	0	0	0	0.536	0.179	0.179	0.179	0	0	0	0.179	0	0	0	0	0.179	0.179	0	0.179	0	0	0	0	0	0	0.357	0	0	0	0	0	0	0	0	0.536	0.179	0	0	0.357	0	0	0.179	0	0	0	0	0	0.179	0.179	0	0.357	0	0	0	0.179	0	0	0	0	0	0	0	0.179	0	0	0.179	0.357	0	0	0	0	0	0	0	0	0	0.357	0.179	0	0	0	0	0	50:60,16.615:200,50:80
2310043L19Rik-NR_037994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,7.01:200,50:80
