ID	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	B25	B26	B27	B28	B29	B30	B31	B32	B33	B34	B35	B36	B37	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	B53	B54	B55	B56	B57	B58	B59	B60	B61	B62	B63	B64	B65	B66	B67	B68	B69	B70	B71	B72	B73	B74	B75	B76	B77	B78	B79	B80	B81	B82	B83	B84	B85	B86	B87	B88	B89	B90	B91	B92	B93	B94	B95	B96	B97	B98	B99	B100	B101	B102	B103	B104	B105	B106	B107	B108	B109	B110	B111	B112	B113	B114	B115	B116	B117	B118	B119	B120	B121	B122	B123	B124	B125	B126	B127	B128	B129	B130	B131	B132	B133	B134	B135	B136	B137	B138	B139	B140	B141	B142	B143	B144	B145	B146	B147	B148	B149	B150	B151	B152	B153	B154	B155	B156	B157	B158	B159	B160	B161	B162	B163	B164	B165	B166	B167	B168	B169	B170	B171	B172	B173	B174	B175	B176	B177	B178	B179	B180	B181	B182	B183	B184	B185	B186	B187	B188	B189	B190	B191	B192	B193	B194	B195	B196	B197	B198	B199	B200	B201	B202	B203	B204	B205	B206	B207	B208	B209	B210	B211	B212	B213	B214	B215	B216	B217	B218	B219	B220	B221	B222	B223	B224	B225	B226	B227	B228	B229	B230	B231	B232	B233	B234	B235	B236	B237	B238	B239	B240	B241	B242	B243	B244	B245	B246	B247	B248	B249	B250	B251	B252	B253	B254	B255	B256	B257	B258	B259	B260	B261	B262	B263	B264	B265	B266	B267	B268	B269	B270	B271	B272	B273	B274	B275	B276	B277	B278	B279	B280	B281	B282	B283	B284	B285	B286	B287	B288	B289	B290	B291	B292	B293	B294	B295	B296	B297	B298	B299	B300	B301	B302	B303	B304	B305	B306	B307	B308	B309	B310	B311	B312	B313	B314	B315	B316	B317	B318	B319	B320	B321	B322	B323	B324	B325	B326	B327	B328	B329	B330	B331	B332	B333	B334	B335	B336	B337	B338	B339	B340	binSize
0610010K14Rik-NM_145758	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.145	3.258	0	9.774	35.837	13.032	4.887	9.774	3.258	8.145	3.258	6.516	4.887	0	0	0	1.629	1.629	0	0	8.145	17.919	16.29	6.516	0	1.629	0	0	8.145	26.064	1.629	3.258	0	0	3.258	3.258	0	0	0	11.403	14.661	14.661	0	4.887	1.629	1.629	9.774	0	8.145	6.516	3.258	6.516	0	0	0	0	0	0	3.258	1.629	0	1.629	0	0	1.629	6.451	11.264	16.966	20.68	1.653	9.774	9.774	0	1.629	3.258	0	2.321	5.791	6.548	9.774	1.629	0	0	1.629	0	0	0	0	1.629	3.258	6.516	3.258	0	11.403	11.403	3.258	0	1.629	0	0	0	0	0	0	0	0	1.629	0	0	3.258	1.629	0	7.176	12.372	1.629	0	0	0	0	0	0	0	3.185	0.073	3.258	0	1.629	10.963	2.069	0	1.629	0	3.258	0	1.002	8.772	1.629	0	0	1.629	3.258	0	0	0	0	0	0	0	0	0	1.629	0	0	1.629	0	0	0	6.516	0	0	1.629	0	0	0	1.629	0	0	1.629	0	0	2.598	0.66	1.629	0	0	0	0	0	3.258	3.258	1.629	3.258	0	1.629	1.629	1.629	0	0	3.258	6.516	4.887	3.258	0	0	0	1.629	0	2.574	0.684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.678	3.209	8.145	0	0	0	1.629	0	1.629	1.629	1.629	0	0	0	0	1.629	0	3.258	1.629	0	0	0	3.258	0	1.629	1.45	5.066	0	1.629	3.258	4.887	9.774	4.887	3.258	0	0	1.629	1.629	0	1.629	13.032	1.629	0	0	3.258	9.774	0	3.258	0	0	0	1.629	8.145	13.032	0	1.629	0	0	0	1.629	6.516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.516	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	50:60,13.555:200,50:80
0610043K17Rik-NR_040640	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	78.191	11.403	4.887	3.258	0	0	27.693	21.519	102.65	172.304	29.321	114.028	21.177	6.516	14.661	19.548	3.258	3.258	3.258	0	0	4.887	4.887	1.629	3.258	1.629	0	8.145	1.629	4.887	0	0	0	6.516	6.516	0	1.629	0	9.774	1.629	9.774	0	1.629	0	1.629	1.629	1.629	0	3.258	0	1.629	9.774	1.629	0	4.887	0	0	4.887	0	0	0	0	0	1.629	0	0	1.629	0	0	0	0	3.258	0	0	0	3.258	0	0	1.629	0	0	1.629	1.629	0	0	0	0	0	0	1.629	0	0	1.629	0	0	0	0	0	6.516	1.629	0	1.629	0	0	0	3.258	0	0	0	8.145	1.629	1.629	0	1.629	4.887	0	1.629	0	0	0	3.258	0	0	0	1.629	0	0	0	0	1.629	6.516	0	0	0	0	0	0	3.258	0	0	0	3.258	1.629	0	1.629	1.629	4.887	0	0	0	3.258	6.516	6.516	0	1.629	1.629	0	16.29	3.258	0	3.258	0	0	1.629	1.629	0	0	4.887	4.887	4.887	1.629	4.887	0	0	0	0	0	0	0	0	0	0	0	0	0	3.258	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	1.629	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.258	0	0	0	1.629	0	0	0	1.629	1.629	0	50:60,227.015:200,50:80
1600012H06Rik-NM_001083881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.887	3.258	3.258	5.473	12.445	39.03	78.354	25.966	2.574	2.313	0	1.629	0	1.629	0	0	0	0	0	0	0	3.258	0	0	0	3.258	3.258	1.629	0	0	0	3.258	0	9.774	0	0	0	0	1.629	0	2.509	4.529	4.366	0	0	0	1.629	0	3.258	1.629	6.516	1.629	0	6.516	3.258	1.629	9.774	11.403	0	0	0	0	0	1.629	0	0	6.516	8.145	1.629	0	0	0	0	6.516	1.727	1.531	0	0	0	0	0	0	0	0	0	1.629	0	3.258	0	1.629	0	3.258	1.629	0	0	1.629	0	0	0	0	0	0	0	0	0	11.403	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.887	0	0	3.258	0	1.629	3.258	10.849	10.328	4.887	0	1.629	6.516	3.258	0	0	1.108	0.521	0	0	1.629	4.887	4.887	4.887	24.435	0	1.629	0	11.468	6.451	1.629	1.629	1.629	0	0	0	0	0	0	0	1.629	3.258	1.629	0	0	0	1.629	0	1.629	4.887	8.145	0	0	0	0	0	0	0	0	0	1.629	0	1.629	8.145	1.629	0	0	3.258	0	0	6.516	8.145	9.774	26.064	8.145	4.887	14.661	8.145	1.629	0	0	1.629	0	1.629	4.887	1.629	3.258	6.516	0	4.887	0	0	3.258	9.774	3.258	1.629	0	0	0	3.258	0	0	1.629	0	0	0	0	0	0	0	1.629	0	0	0	0	3.258	0	0	1.629	0	1.629	0	0	1.629	0	0	0	0	0	0	0	0	1.629	0	0	0	0	3.258	1.629	0	1.629	50:60,13.78:200,50:80
1600023N17Rik-NR_073433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	3.258	0	0	1.629	4.887	0	0	0	0	0	0	0	0	0	0	3.258	11.533	3.128	0	1.629	1.629	4.887	1.629	10.295	7.624	0.652	55.45	12.315	21.242	4.822	32.254	50.824	71.219	33.036	11.859	7.689	48.348	24.565	13.292	51.801	31.407	8.405	6.255	3.453	6.32	1.955	26.52	2.932	14.205	3.844	5.278	12.576	2.737	1.694	4.822	0	2.672	0.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.473	4.3	0	0	0	0	1.629	3.258	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0.586	8.536	3.91	0.782	5.734	4.17	0.717	1.043	0.586	0	0	0	0	4.691	0.195	0	0	0	1.629	0	0	3.258	0	3.258	0	1.629	0	0	0	3.258	3.258	0	1.629	0	1.629	0	0	1.629	0	1.629	4.757	0.13	0	0	0.586	4.3	1.629	0	0	0	0	0	0	0	0	0	0	1.629	1.629	0	0	0	0	0	0	0	0	0	0	0	0	3.258	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.065	1.564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	2.997	0.261	0	0	0	0	1.629	3.258	9.774	24.435	8.145	0	0	0	1.629	1.629	0	3.258	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,5.04:200,50:80
1700008K24Rik-NR_038144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,6.35:200,50:80
1700010I02Rik-NR_040587	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,147.925:200,50:80
1700022I11Rik-NM_026088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,21.9:200,50:80
1700067P10Rik-NR_160405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,6.395:200,50:80
1810019D21Rik-NR_040346	1.629	4.887	0	4.887	0	1.629	0	3.258	0	1.629	0	0	4.887	0	1.629	6.516	9.774	1.629	3.258	4.887	6.516	0	0	24.435	4.887	1.629	1.629	1.629	0	8.145	3.258	8.145	4.887	9.774	1.629	6.516	1.629	3.258	3.258	0	0	0	0	0	11.403	11.403	1.629	0	0	0	1.629	0	1.629	0	0	0	4.887	0	0	1.629	1.629	6.516	4.887	8.145	5.009	9.147	5.392	1.629	1.629	0	0	0	0	0	4.887	0	1.629	0	0	0	0	0	0	0	0	0	1.629	3.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	4.887	1.629	4.887	1.629	0	0	0	0	0	0	0	0	0	0	0	3.258	0	0	0	0	0.586	1.043	0	0	3.258	0	0.081	1.548	0	0	1.629	0	1.629	1.629	1.629	0	0	0	0	0	0	0	0	3.258	0	0	1.629	0	0	0	0	0	0	0	0	0	3.258	3.258	16.29	34.208	63.53	6.516	3.258	1.629	1.629	0	1.629	3.258	4.887	20.354	21.999	0	0	1.629	8.145	0	0	26.74	5.84	1.629	3.258	1.629	0	6.687	3.087	11.403	0	3.258	1.629	1.629	0	0.041	4.846	1.629	1.629	0	0	9.774	0	0	0	0	0	1.629	0	8.145	1.629	6.516	3.258	13.032	1.629	1.629	0	0	0	1.629	3.258	0	0	0	0	0	0	0	0	1.629	0	11.403	0	0	0	0	1.629	9.774	11.403	8.145	4.887	3.258	4.659	1.857	9.774	2.891	8.511	14.661	52.127	8.145	37.222	6.76	0	0	4.887	0	0	1.629	0	0	0	17.919	17.919	11.403	3.258	1.629	3.258	11.403	1.629	0	0	0	0	1.629	1.629	6.516	0	0	0	3.258	9.774	9.774	0	29.322	0	0	0	3.258	0	0	0	4.887	35.837	0	1.629	6.516	0	4.887	0	0	0	3.258	0	0	0	4.887	3.258	1.629	3.258	0	0	1.629	0	3.258	3.258	0	0	0	0	0	0	0	0	1.629	1.629	0	0	0	0	0	0	0	0	0	13.032	0	0	0	0	0	0	50:60,16.615:200,50:80
2310043L19Rik-NR_037994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50:60,7.01:200,50:80
